index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,repobench-p_e,3614277.578633838,1.3052451629191637,1.3052451629191637,8.427535540831766,cq.add(b0);
1,repobench-p_e,3614278.884200229,0.9561706283129752,0.9561706283129752,57.52111429843808,"self._caption_label.setStyleSheet(""font-weight: bold;"")"
2,repobench-p_e,3614279.840643175,0.5801421292126179,0.5801421292126179,27.579448542576223,if name is None:
3,repobench-p_e,3614280.421035211,1.8395281708799303,1.8395281708799303,59.7979426144814,"DocumentDialog(self, AvenantContratAccueilModifications(self.inscrit, self.current_cotisation[0])).ShowModal()"
4,repobench-p_e,3614282.26083508,1.0452105500735343,1.0452105500735343,18.1781555866072,public AthenaGM() {
5,repobench-p_e,3614283.306319358,1.0282494872808456,1.0282494872808456,58.35159729441441,try (SqlSession session = sqlSessionFactory.openSession()) {
6,repobench-p_e,3614284.334813222,0.8655743841081858,0.8655743841081858,38.12497297271614,private final Node bootstrapNode;
7,repobench-p_e,3614285.200670115,0.6362542808055878,0.6362542808055878,111.59060479735237,private final ServiceLoader serviceLoader = new DefaultServiceLoader();
8,repobench-p_e,3614285.837256415,0.7040344001725316,0.7040344001725316,42.6115541977042,self._varz.transport_latency()
9,repobench-p_e,3614286.541527352,0.9844282199628651,0.9844282199628651,41.64854193386148,meteor_obj.jdt_ref = datetime2JD(frame_n)
10,repobench-p_e,3614287.52624655,0.8385897749103606,0.8385897749103606,48.89160496189286,"groups = np.array(groups, dtype=np.int32)"
11,repobench-p_e,3614288.365161495,1.464025238994509,1.464025238994509,64.20654336844568,elif (str(opts.paintsurface[3]) == 'b_lb') or (str(opts.paintsurface[3]) == 'blue-lightblue'):
12,repobench-p_e,3614289.829493223,0.7413251847028732,0.7413251847028732,44.514877790407944,self._refresh_rate = refresh_rate
13,repobench-p_e,3614290.571092206,0.5948458830825984,0.5948458830825984,53.79544670322041,self.errors = errors or Errors()
14,repobench-p_e,3614291.166244888,0.5491490559652448,0.5491490559652448,25.493989014316085,super.setUp();
15,repobench-p_e,3614291.71560062,1.1933994721621275,1.1933994721621275,98.8772014338291,"private final Map<String, ProgressFormat> formatCache = Collections.synchronizedMap(new LruCache(DEFAULT_CACHE_SIZE));"
16,repobench-p_e,3614292.909259019,1.025775243062526,1.025775243062526,61.41696285426909,"assert SharedDynamoName.Meta.columns[0].dynamo_name == ""shared"""
17,repobench-p_e,3614293.935294969,0.954582491889596,0.954582491889596,32.47493041553224,"compile_information_func, jobs)"
18,repobench-p_e,3614294.89019773,0.7168726036325097,0.7168726036325097,83.6968796072974,"self.process_element_descriptor(state, bit_operator, member)"
19,repobench-p_e,3614295.607472807,0.7464250540360808,0.7464250540360808,29.47382309990972,TypesApi getTypesApi()
20,repobench-p_e,3614296.35422522,1.3895023269578815,1.3895023269578815,38.14315310722508,"@method(function('node', nargs=0, label='kind test'))"
21,repobench-p_e,3614297.744047856,0.5874362499453127,0.5874362499453127,47.66474660460034,self._input_buffer += _value
22,repobench-p_e,3614298.331880957,0.9438148229382932,0.9438148229382932,65.69085215994068,"account = account_for_tumblr_userinfo(userinfo, person=person)"
23,repobench-p_e,3614299.276227236,0.9339788360521197,0.9339788360521197,37.47408254767655,"for jsoned in data[""ip_addresses""]:"
24,repobench-p_e,3614300.21050843,0.3788720131851733,0.3788720131851733,60.706516183761444,StringResponseHandler()
25,repobench-p_e,3614300.589717382,1.0406629131175578,1.0406629131175578,77.83500207319283,"registerCallAction(new VolumeUpAction(this), VolumeUpAction.VOLUME_UP_ACTION_ID);"
26,repobench-p_e,3614301.6308944,1.065822727046907,1.065822727046907,38.46793557649065,mToolbarSearch.setTitle(R.string.search);
27,repobench-p_e,3614302.696986516,0.9269484379328787,0.9269484379328787,33.44306838590815,varray[i] = f.apply(rarray[i]);
28,repobench-p_e,3614303.624242833,1.7681471160613,1.7681471160613,55.42525229365724,private int maxImgWidth = (int) (App.get().getResources().getDisplayMetrics().widthPixels * 0.8f);
29,repobench-p_e,3614305.39273131,0.8137263562530279,0.8137263562530279,67.5902895086979,"print ""\n[INFO] Dynamic Analysis Environment is Ready!"""
30,repobench-p_e,3614306.206768596,1.3247392820194364,1.3247392820194364,53.59545154558065,"@Before public void setup() throws RuleExecutorException, IOException {"
31,repobench-p_e,3614307.531809707,1.4525476270355284,1.4525476270355284,64.02543935154925,"list_filter = ['idswitch__nomswitch', ""typeregle"", ""source__nomhote"", ""destination__nomhote""]"
32,repobench-p_e,3614308.984705733,0.9330649976618588,0.9330649976618588,21.43473396828456,TickHandler.post(e);
33,repobench-p_e,3614309.91808118,0.992018788587302,0.992018788587302,70.56317965477697,private DataParserFactory dataParserFactory = new DataParserFactory();
34,repobench-p_e,3614310.910420929,0.5493783741258085,0.5493783741258085,76.45004240807982,"IS_REGISTERED, new IsRegisteredHandler());"
35,repobench-p_e,3614311.460092871,1.2748706201091409,1.2748706201091409,96.48037852615197,"compute_and_update_assembly_points_conflicts(assembly_points=merged_assembly_points, reference_assembly=reference_assembly)"
36,repobench-p_e,3614312.73564209,1.218529521021992,1.218529521021992,57.44628980452632,p.teleport(this.getRound().getConfigManager().getSpectatorLocation());
37,repobench-p_e,3614313.954524861,0.9983240659348667,0.9983240659348667,51.08561612430104,class PortfolioConsumerType(PortfolioConsumerType):
38,repobench-p_e,3614314.953170066,0.7821941990405321,0.7821941990405321,63.92274458354692,"print ""\n[INFO] Starting App for Dynamic Analysis"""
39,repobench-p_e,3614315.735862069,0.5427833162248135,0.5427833162248135,49.74360705813767,config_parser.add_argument(
40,repobench-p_e,3614316.278934375,2.091591890901327,2.091591890901327,68.36897801242536,"CreditCard creditCard = new CreditCard(alias, bankName, number, currency, type, cardExpirationCal, closing, due, selectedCreditCardBackground);"
41,repobench-p_e,3614318.370886276,0.9650222971104085,0.9650222971104085,35.2323465497192,protected AdRetriever adRetriever;
42,repobench-p_e,3614319.336241313,1.2224776609800756,1.2224776609800756,31.902423451020947,"fm.BVExtract(fm.BVConcat(px, py), 0, 4)"
43,repobench-p_e,3614320.559071044,0.6616627941839397,0.6616627941839397,51.38569116907023,linkers.add(new GeometryToNode());
44,repobench-p_e,3614321.220994306,1.0152471591718495,1.0152471591718495,65.00880047163793,"print'manifest_data[""packagename""]:', manifest_data['packagename']"
45,repobench-p_e,3614322.236578464,0.7771528009325266,0.7771528009325266,88.78562866556621,"self.assertIsInstance(Object.factory(""dynamic"", ""v1""), ObjectDynamic)"
46,repobench-p_e,3614323.014323932,0.7156705008819699,0.7156705008819699,58.68622494323926,public Observable<ApiStatus> apiStatus() {
47,repobench-p_e,3614323.730612791,1.0268499096855521,1.0268499096855521,43.82334708855373,if (view.getId() == R.id.item_ribao_header) {
48,repobench-p_e,3614324.757805912,0.7576268240809441,0.7576268240809441,59.395996247345444,"SecurityDateTime(date=_now, time=_now.time())"
49,repobench-p_e,3614325.515971012,0.6706727198325098,0.6706727198325098,47.71328705302269,"return elab_tools.cast(expr, ty)"
50,repobench-p_e,3614326.187216279,1.059573173057288,1.059573173057288,44.357483933258145,StepCounterCollector.createDBStorage(deviceID);
51,repobench-p_e,3614327.247128472,0.5223605306819081,0.5223605306819081,40.20211858768473,class URI(Signature):
52,repobench-p_e,3614327.769877904,0.7528802449814975,0.7528802449814975,45.15990454874476,private final MinemaConfig config;
53,repobench-p_e,3614328.523088329,1.3831065781414509,1.3831065781414509,48.441675470903505,"assert_allclose_units(u2.base_value, 1 / (km_mks * Mpc_mks), 1e-12)"
54,repobench-p_e,3614329.907074012,0.8309835381805897,0.8309835381805897,27.678045283974843,TcCommandOutput.TCSHOW)
55,repobench-p_e,3614330.738374609,0.9790512700565159,0.9790512700565159,72.51918481848404,"throw new IOException(""No Station Track URL available for this track"");"
56,repobench-p_e,3614331.717755009,0.7918286179192364,0.7918286179192364,42.93858447468727,return new JsonObjectRequest(url);
57,repobench-p_e,3614332.509892445,0.8822661400772631,0.8822661400772631,44.20434858418644,.addSuperclass(TypeName.get(className))
58,repobench-p_e,3614333.392478944,1.1618530680425465,1.1618530680425465,64.55205228864062,"String path = FileUtil.joinPaths(relativePathToPattern, patternPathToFile);"
