index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,samsum,1632952.207460895,2.194120204076171,2.194120204076171,10.482561510199528,Yes she is still angry.
1,samsum,1632954.401868605,0.525011648889631,0.525011648889631,51.4274303381714,Mico is going to the party.
2,samsum,1632954.927298132,1.4372935409191996,1.4372935409191996,19.481058811474945,Michael can't make it today.
3,samsum,1632956.364872489,1.0078579389955848,1.0078579389955848,23.812879842885415,Autumn has sewn a dress.
4,samsum,1632957.373043384,1.2728516119532287,1.2728516119532287,36.13932650751931,Brenda and Sandra are reuniting next Saturday.
5,samsum,1632958.646204013,1.8454526260029525,1.8454526260029525,17.339919513029432,Leah wants Kristi to use her ID.
6,samsum,1632960.491964985,1.8259854211937636,1.8259854211937636,24.096577929540302,They discuss staying healthy and exercising.
7,samsum,1632962.318284393,1.7786666320171207,1.7786666320171207,14.617691439184616,Petra is extremely sleepy.
8,samsum,1632964.097280152,1.4286056039854884,1.4286056039854884,27.99933017790844,Timothée Chalamet is being photoshopped.
9,samsum,1632965.526222803,0.5968756321817636,0.5968756321817636,45.235554182881806,Bones is a 4-month-old pup.
10,samsum,1632966.123419262,1.110024499008432,1.110024499008432,25.224668487057695,Celine will call Cara later.
11,samsum,1632967.233750367,1.1535596270114183,1.1535596270114183,29.473985742796334,Janice has seen most of the films.
12,samsum,1632968.38757586,0.6718134910333902,0.6718134910333902,55.07480944314803,They will meet Jose tomorrow morning.
13,samsum,1632969.059623656,1.4520638338290155,1.4520638338290155,24.103623535410872,Florence has a new single tomorrow.
14,samsum,1632970.511953327,1.1873392169363797,1.1873392169363797,27.79323678463845,Martin won cinema tickets online.
15,samsum,1632971.69956331,1.167134416056797,1.167134416056797,33.41517434792371,Jim will listen to Max's project later.
16,samsum,1632972.866986993,0.6651819089893252,0.6651819089893252,52.61718565554326,Wanda wants to go grocery shopping.
17,samsum,1632973.532514169,0.481664344901219,0.481664344901219,68.51244097540109,The offer seems quite affordable.
18,samsum,1632974.014430709,1.7009508640039712,1.7009508640039712,17.049287321407476,Tadeusz Mrożek is the writer.
19,samsum,1632975.71568586,0.621333773015067,0.621333773015067,35.40770026590284,Jesse broke his razor.
20,samsum,1632976.337279469,1.8008414139039814,1.8008414139039814,12.216511587384568,You can meet her at 7.
21,samsum,1632978.1384292,1.7352391849271953,1.7352391849271953,16.712393456707666,They will meet in town later.
22,samsum,1632979.873967362,0.5210834539029747,0.5210834539029747,49.896038350972425,Bella will bring the wine.
23,samsum,1632980.395315693,0.8279870310798287,0.8279870310798287,41.06344510693424,Gary is enjoying driving for Uber.
24,samsum,1632981.223629691,1.6045875591225922,1.6045875591225922,23.058885001097757,Dorothea is celebrating her birthday.
25,samsum,1632982.828512396,0.647298128111288,0.647298128111288,50.98114542102679,They are going to German markets.
26,samsum,1632983.47607323,1.1596890771761537,1.1596890771761537,24.144402625727995,Carter will lend Mary money.
27,samsum,1632984.636090945,1.4868337460793555,1.4868337460793555,20.849674741203692,She will watch it this weekend.
28,samsum,1632986.123242178,1.1028195950202644,1.1028195950202644,29.923298560353945,Delete the expense and re-add it.
29,samsum,1632987.226351769,2.0797701741103083,2.0797701741103083,14.905493109718863,Alex will join Huda in 2 hours.
30,samsum,1632989.30642116,0.7412974128965288,0.7412974128965288,55.30843530101841,They will have pasta for dinner together.
31,samsum,1632990.047991798,0.7642381119076163,0.7642381119076163,37.9462886607592,The party was very enjoyable.
32,samsum,1632990.812499927,0.8193274470977485,0.8193274470977485,43.93847676837937,Dreams reflect our subconsciousness.
33,samsum,1632991.63212243,1.5379780968651175,1.5379780968651175,16.255107956971464,She will make it on time.
34,samsum,1632993.170404024,0.5481885429471731,0.5481885429471731,69.31921596847732,Louisa will lend Thelma her red dress.
35,samsum,1632993.718996316,1.530481877969578,1.530481877969578,9.14744578261402,9 at my place.
36,samsum,1632995.2497825,1.4177204419393092,1.4177204419393092,21.866088040315546,It's a wardrobe management app.
37,samsum,1632996.667807138,1.6077886370476335,1.6077886370476335,17.415224460981467,People are at Jesus bar now.
38,samsum,1632998.275904212,1.335975538007915,1.335975538007915,18.712917481466555,Nicole is willing to try.
