index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,lcc_e,3700572.041969325,1.1786837722174823,1.1786837722174823,42.42019885107433,invKnjPanel.setCode(invKnjPanel.getDefaultCode());
1,lcc_e,3700573.220940735,0.4289788706228137,0.4289788706228137,90.91356864121951,public ISearchCondition<String> GroupID
2,lcc_e,3700573.650243945,0.740256492048502,0.740256492048502,48.63179234048685,"aliases.Add (""GB2312_80"", ""gb2312"");"
3,lcc_e,3700574.390818026,0.4252456952817738,0.4252456952817738,70.54745135073402,def _parse_char_class(source):
4,lcc_e,3700574.81640017,0.28810990834608674,0.28810990834608674,34.70897636740658,plt.show()
5,lcc_e,3700575.104728165,0.6160612809471786,0.6160612809471786,38.95716342228261,"sendBean(""B"", 99, null);"
6,lcc_e,3700575.721021622,0.6338101141154766,0.6338101141154766,37.8662306982803,tree.setSelection(item);
7,lcc_e,3700576.355086603,0.8867896408773959,0.8867896408773959,109.38332556977946,"panel.add(new NilCard(Language.INSTANCE.localizeWithReplace(""instance.nodisplay"", ""\n\n"")), gbc);"
8,lcc_e,3700577.242335438,0.592868366278708,0.592868366278708,69.15531732169677,float sqrtAspect = FloatMath.sqrt(w / h);
9,lcc_e,3700577.835538524,0.5182513268664479,0.5182513268664479,63.6756690996452,"self.__repeat = (delay, interval)"
10,lcc_e,3700578.35410183,0.5350168426521122,0.5350168426521122,63.54940123279083,assert logged_critical is not None
11,lcc_e,3700578.889401761,0.6192530831322074,0.6192530831322074,72.6681888645401,self._wavemeterdll.Operation(self._cCtrlStop)
12,lcc_e,3700579.508952114,0.5172163699753582,0.5172163699753582,106.33847494544762,PresenceStatus mustStatus = PresenceStatus.values()[0];
13,lcc_e,3700580.026516673,1.1668462217785418,1.1668462217785418,33.423427416643676,await RunCommandDirectly<CmdMap>(null);
14,lcc_e,3700581.193648993,0.9001769348978996,0.9001769348978996,61.09909937454489,"this.label2.Location = new System.Drawing.Point(6, 92);"
15,lcc_e,3700582.094309753,0.37609603721648455,0.37609603721648455,31.906744056153624,return null;
16,lcc_e,3700582.470717007,0.5993983182124794,0.5993983182124794,36.7034730187569,self.get_link_status()
17,lcc_e,3700583.070414583,0.6006747595965862,0.6006747595965862,56.60301095860002,if (s.length() == 0) return false;
18,lcc_e,3700583.671491465,0.3530244417488575,0.3530244417488575,59.485966172674964,m_Writer.WriteLine();
19,lcc_e,3700584.024833406,0.7623362713493407,0.7623362713493407,51.15852605434833,"nodemap = eroder(nodemap, start, stop);"
20,lcc_e,3700584.787580299,0.3496249448508024,0.3496249448508024,71.50519540494572,this.ResumeLayout(false);
21,lcc_e,3700585.137535643,0.631001721136272,0.631001721136272,68.14561444074677,"with open(OutFileNames.behavior, 'w') as f:"
22,lcc_e,3700585.76907708,0.3572748233564198,0.3572748233564198,33.58758920448396,body += sec7
23,lcc_e,3700586.126786616,0.4473184426315129,0.4473184426315129,82.71512299455861,"self.progress(""Rotor runup complete"")"
24,lcc_e,3700586.57450135,0.35453348606824875,0.35453348606824875,59.23276876576177,Game.SyncLobbyInfo();
25,lcc_e,3700586.929356145,0.6150565627031028,0.6150565627031028,78.04160285526508,"sock_in.read(buf, 0, bytes_to_read_for_payload);"
26,lcc_e,3700587.545087108,0.8287393162027001,0.8287393162027001,118.25190151353978,"private void setOPIInput(final IEditorInput input, final boolean persist) throws PartInitException"
27,lcc_e,3700588.374337139,0.25782660814002156,0.25782660814002156,31.028605068004953,super();
28,lcc_e,3700588.632468415,0.5599127090536058,0.5599127090536058,69.65371453332408,"assert name == ""Stephen John O'Connell"""
29,lcc_e,3700589.192698064,1.9255078891292214,1.9255078891292214,82.05627247336433,"@contract(     course_key='CourseKey', asset_type='None | basestring',     start='int | None', maxresults='int | None', sort='tuple(str,(int,>=1,<=2))|None' )"
30,lcc_e,3700591.118471261,0.41474019875749946,0.41474019875749946,48.22295996365207,public T this[int i]
31,lcc_e,3700591.53353839,0.9550772970542312,0.9550772970542312,84.809889471596,"self.ui.warn(_('repository %s is not a subdirectory of %s') % (path, parentpath))"
32,lcc_e,3700592.489194133,0.41934450529515743,0.41934450529515743,85.84826925217786,logger = logging.getLogger(__name__)
33,lcc_e,3700592.908885899,0.3773256498388946,0.3773256498388946,34.452998373024904,m.Mana -= 20;
34,lcc_e,3700593.286506217,1.69920737715438,1.69920737715438,123.58703406271795,for field in model._meta.fields:     if field.name in hash_:         fields[field.name] = hash_[field.name]     else:         fields[field.name] = None     if field.name in attrs:         extra_attrs[field.name
35,lcc_e,3700594.986040263,0.41885728016495705,0.41885728016495705,40.58661698157652,if auth_code!= 0:
36,lcc_e,3700595.405344836,0.6678058640100062,0.6678058640100062,98.831117779779,"from __future__ import (absolute_import, division, print_function)"
37,lcc_e,3700596.073608813,0.8968234229832888,0.8968234229832888,54.6372883939641,if(Filter.Rsno!= null && filter.Rsno.length()> 0)
38,lcc_e,3700596.970847308,0.9841027976945043,0.9841027976945043,72.14693441207001,"record_add_field(rec, '520', subfields=[('a', self.get_abstract(xml))])"
39,lcc_e,3700597.955375538,0.8547978876158595,0.8547978876158595,69.02216401652387,"assertEquals(A.getQuick(r, NCOLUMNS / 2), col.getQuick(r));"
40,lcc_e,3700598.810566318,0.4758706446737051,0.4758706446737051,52.53528512384284,"LEIntField(""session"", 0),"
41,lcc_e,3700599.286769782,0.7686576428823173,0.7686576428823173,124.89305334949717,reader.setCoordinateReferenceSystem(CRS.decode(metocDictionary.getCoordinateReferenceSystem()));
42,lcc_e,3700600.055868558,0.8271729499101639,0.8271729499101639,91.87921341994328,((Creature) e).setCustomName(arena.getMonsterManager().getCustomName(this));
43,lcc_e,3700600.883655436,0.5802775071933866,0.5802775071933866,51.69940180018391,ushort* end = line + bd.Width;
44,lcc_e,3700601.464252682,1.270204592961818,1.270204592961818,72.42927675570569,"if (house == null) house = BaseHouse.FindHouseAt(new Point3D(m.X, m.Y + 1, 127), m.Map, 16);"
45,lcc_e,3700602.734741883,0.853732748888433,0.853732748888433,122.9893079968068,"Assert.AreEqual(expectedDescriptor, displaySet.Name, ""Name string differs for uncorrected display set."");"
46,lcc_e,3700603.589188791,0.3298709630034864,0.3298709630034864,69.72423335047199,def find_reader(fname):
47,lcc_e,3700603.919418794,0.8201386099681258,0.8201386099681258,69.5004470064094,for(Iterator<Cell> cIt = lib.getCells(); cIt.hasNext(); )
48,lcc_e,3700604.740058448,0.8576724496670067,0.8576724496670067,48.96974365482603,Program.keyH_ENT = (Program.keyH_ENT | 2);
49,lcc_e,3700605.598027797,1.5270014619454741,1.5270014619454741,97.57685484476666,"results.write([np.array(weights_dmat_all), np.array(out_list)], names=out_names, header=header, comment=out_comment, units=out_units, extname='DATA')"
50,lcc_e,3700607.125301477,0.2992202718742192,0.2992202718742192,53.472312887696965,class Ris(Base):
51,lcc_e,3700607.42483952,0.7704602601006627,0.7704602601006627,72.68382666833907,if (orig == null ||!orig.exists() || orig.length() == 0)
52,lcc_e,3700608.195765735,0.8758096517995,0.8758096517995,61.657233268722045,for (int i = 0; i < opponent.getScore().size(); i++) {
53,lcc_e,3700609.071866894,0.7104338756762445,0.7104338756762445,88.67820378079783,"res = c.get(""/"", headers=self._make_auth_headers(web.password))"
54,lcc_e,3700609.782856706,0.49636658281087875,0.49636658281087875,88.64416244710111,nsClientService = mLocalBinder.getService();
55,lcc_e,3700610.279508938,0.6820914670825005,0.6820914670825005,67.43963562065233,"os.system(""nmake -f ""+makefile+"" ""+make_flags)"
56,lcc_e,3700610.961930974,2.8737956201657653,2.8737956201657653,28.53369231430247,"EditorGUI.LabelField(new Rect(startX, startY+=spaceY, 200, height), ""ClipSize: "");"
57,lcc_e,3700613.836032623,2.4548733681440353,2.4548733681440353,42.77206366835265,"AddCraft( typeof( BattleAxe ), 1011082, 1023911, 30.5, 80.5, typeof( IronIngot ), 1044036, 14, 1044037 );"
58,lcc_e,3700616.29121467,0.6571338158100843,0.6571338158100843,59.34864263821608,assert self.countelements(po_file) == 2
59,lcc_e,3700616.948699606,0.4774776380509138,0.4774776380509138,27.226405938226996,\t\t\t\tget {
60,lcc_e,3700617.426478592,0.9598876959644258,0.9598876959644258,76.05056331788363,"'build: {""status"": ""success"", ""http_method"": ""POST"", ""http_status"": 200}'"
61,lcc_e,3700618.38678003,0.39981421967968345,0.39981421967968345,97.54530499501837,public void setLoaded(boolean loaded) {
62,lcc_e,3700618.786991212,1.1125453570857644,1.1125453570857644,94.37817463464162,"return prevChildren.Concat(Enumerable.Range(0, (dbCount - StartPagingTreshold + PageSize - 1) / PageSize)"
63,lcc_e,3700619.900104426,0.4500134941190481,0.4500134941190481,66.66466759786474,soaResponse.answer.append(soa)
64,lcc_e,3700620.350407158,0.7871940778568387,0.7871940778568387,86.38276368279115,"IDENTIFIER(RustParserConstants.IDENTIFIER, TokenCategory.IDENTIFIER)"
65,lcc_e,3700621.137957096,0.3375285076908767,0.3375285076908767,100.73223216789344,writer.Write(GetPercentageSign());
66,lcc_e,3700621.475780823,0.3949932879768312,0.3949932879768312,35.44364024945453,if query_args:
67,lcc_e,3700621.871073649,0.8035426530987024,0.8035426530987024,79.64729657249273,"canvas.drawRect(left, top, right, bottom, tiles[i].getBitmap());"
68,lcc_e,3700622.674982972,0.32322564208880067,0.32322564208880067,92.81441845433172,public static void Configure()
69,lcc_e,3700622.998583254,0.874106268864125,0.874106268864125,118.97866850348173,"this.alertDialog.show(MSGS.deleteCertificate(), MSGS.deleteCertificateConfirm(), new ConfirmListener() {"
70,lcc_e,3700623.873087614,1.9181487951427698,1.9181487951427698,79.24307039417475,"Namespace SomeNS{0}"" + 				""    {0}"" + 				""    Public Class SomeClass{0}"" + 				""        {0}"" + 				""        Private Sub SomeMethod(Of T As  {{System.I"
71,lcc_e,3700625.791519147,1.2476802850142121,1.2476802850142121,109.80377076202615,"self.file = util.encoded_path(root= self.dbm_dir, identifiers=[self.namespace], extension='.dbm', digest_filenames=self.digest_filenames)"
72,lcc_e,3700627.039660955,0.46722410526126623,0.46722410526126623,55.6478137733521,public String toString() {
73,lcc_e,3700627.507180658,0.40514647495001554,0.40514647495001554,86.38850925290188,return 'Plugin configuration done.'
74,lcc_e,3700627.912589449,0.7755110170692205,0.7755110170692205,67.05256128599729,"'vdom': ""<your_own_value> (source system.vdom.name)"""
75,lcc_e,3700628.688516954,0.3651829408481717,0.3651829408481717,73.93554566730297,fileDecoder = savedDecoder;
76,lcc_e,3700629.054215981,0.4247514116577804,0.4247514116577804,72.98386573692311,return super.eIsSet(featureID);
77,lcc_e,3700629.479260662,1.8585140430368483,1.8585140430368483,107.0747895317649,if (db == null) {     db = new OnmsNode();     db.setId(imported.getId());     db.setLabel(imported.getLabel());     db.setBuilding(imported.getBuilding());     db.setCity(imported.getCity());     db
78,lcc_e,3700631.338521376,0.6341895540244877,0.6341895540244877,34.68994381946336,if state == 'present':
79,lcc_e,3700631.972992638,0.5460072900168598,0.5460072900168598,58.60727610250752,ac = new AddonComponent( 4846 );
80,lcc_e,3700632.519309827,0.5177393988706172,0.5177393988706172,73.3959982239949,self.monitoring_cost = monitoring_cost
81,lcc_e,3700633.037305003,0.39093645103275776,0.39093645103275776,63.94901251586073,public ITripChain Clone()
82,lcc_e,3700633.4284788,0.6454800916835666,0.6454800916835666,12.393875664134095,super();
83,lcc_e,3700634.07420764,0.9280106243677437,0.9280106243677437,104.52466540034105,"throw new Exception(string.Format(""Counter does not exist: {0}|{1}"", CounterName, CategoryName));"
